playerName,team,eligiblePositions
Parker Kelly,COL,"C,LW"
Darnell Nurse,S.J,D
Sam Rinzel,CHI,D
Filip Hallander,PIT,LW
Jack McBain,UTA,"C,LW"
Connor Dewar,PIT,"C,LW"
Esa Lindell,DAL,D
Martin Fehervary,WSH,D
Michael Carcone,UTA,LW
Alex Kerfoot,NSH,"C,LW,RW"
Scott Laughton,L.A,"C,LW"
Jonatan Berggren,STL,RW
Rasmus Sandin,WSH,D
Blake Lizotte,PIT,C
Otto Stenberg,STL,C
Pontus Holmberg,T.B,RW
Zayne Parekh,CGY,D
Alex Steeves,BOS,"C,LW"
Ethen Frank,WSH,RW
Frederick Gaudreau,SEA,"C,RW"
Jake McCabe,TOR,D
Vladislav Namestnikov,WPG,"C,LW"
Drew Helleson,ANA,D
Dylan Samberg,WPG,D
Phillip Danault,MTL,C
Morgan Barron,WPG,"C,LW"
Theo Lindstein,STL,D
Kaedan Korczak,PIT,D
Tye Kartye,NYR,LW
Max Sasson,VAN,"C,LW"
Nino Niederreiter,WPG,"LW,RW"
Kaiden Guhle,MTL,D
Adam Klapka,CGY,RW
Marcus Pettersson,NYR,D
Samuel Girard,PIT,D
Artem Zub,OTT,D
Corey Perry,L.A,RW
Josh Samanski,EDM,C
Michael Kesselring,S.J,D
Andre Burakovsky,OTT,"LW,RW"
Colton Parayko,STL,D
Matt Roy,WSH,D
Sean Walker,CAR,D
Conor Geekie,T.B,C
Jacob Trouba,S.J,D
Ryker Evans,SEA,D
Jonas Brodin,MIN,D
Lenni Hameenaho,N.J,RW
Daniil But,UTA,"LW,RW"
Dakota Joshua,TOR,"C,LW"
Brent Burns,COL,D
Alex Vlasic,CHI,D
Adam Gaudette,S.J,"C,RW"
Alex Turcotte,L.A,"C,LW"
Louis Crevier,BUF,D
Hendrix Lapierre,PIT,C
Kasperi Kapanen,EDM,RW
Isaac Howard,EDM,LW
Mikey Anderson,L.A,D
Michael Eyssimont,BOS,LW
Elmer Soderblom,PIT,"LW,RW"
Kevin Bahl,CGY,D
Josh Anderson,MTL,RW
Anthony Duclair,NYI,LW
Martin Pospisil,CGY,"C,RW"
Andrew Mangiapane,CHI,"LW,RW"
Zachary L'Heureux,COL,LW
Jason Dickinson,EDM,C
Rasmus Ristolainen,PHI,D
Alex Holtz,VGK,RW
Adam Wilsby,NSH,D
Ryan Pulock,NYI,D
Eric Robinson,CAR,"LW,RW"
Nick Perbix,NSH,D
Joel Armia,L.A,RW
Aatu Raty,VAN,C
Ryan Shea,EDM,D
Alex Romanov,NYI,D
Colton Dach,EDM,"C,LW"
Taylor Raddysh,NYR,RW
Michael Rasmussen,DET,"C,LW"
Matthew Robertson,NYR,D
Hunter Brzustewicz,CGY,D
Cole Koepke,WPG,LW
Wyatt Kaiser,CHI,D
Nikita Zadorov,BOS,D
Ben Meyers,SEA,"C,LW"
Mark Kastelic,BOS,"C,RW"
Alex Carrier,MTL,D
Anthony Beauvillier,WSH,LW
Keegan Kolesar,DET,RW
Marcus Foligno,MIN,LW
Nick Foligno,MIN,"C,LW"
Maveric Lamoureux,UTA,D
Nils Lundkvist,DAL,D
Jared Spurgeon,MIN,D
Nikita Grebenkin,PHI,"LW,RW"
Yakov Trenin,MIN,"C,LW,RW"
Braden Schneider,NYR,D
Mark Jankowski,CAR,C
William Carrier,CAR,LW
Fedor Svechkov,COL,C
Logan Mailloux,STL,D
William Borgen,BOS,D
Stefan Noesen,N.J,RW
Tanner Jeannot,BOS,"LW,RW"
Mason Appleton,DET,RW
Nick Cousins,OTT,LW
Miles Wood,CBJ,LW
Adam Larsson,SEA,D
Maxim Tsyplakov,CGY,"LW,RW"
Jacob Middleton,CGY,D
Dante Fabbro,CBJ,D
Jalen Chatfield,CAR,D
Elias Pettersson (D),VAN,D
Brayden McNabb,VGK,D
Tyler Kleven,OTT,D
Steven Lorentz,TOR,"LW,RW"
Johnathan Kovacevic,N.J,D
Dylan Demelo,WPG,D
Emil Martinsen Lilleberg,T.B,D
Adam Pelech,NYI,D
Nick Jensen,ANA,D
Ian Moore,ANA,D
Shakir Mukhamadullin,EDM,D
Noel Acciari,PHI,"C,RW"
Logan O'Connor,COL,RW
Nate Schmidt,UTA,D
Ty Emberson,EDM,D
Parker Wotherspoon,VGK,D
Lian Bichsel,DAL,D
Nic Dowd,VGK,C
Adam Edstrom,NSH,"C,LW"
Henri Jokiharju,BOS,D
Nicolas Hague,NSH,D
Ozzy Wiesblatt,NSH,RW
Paul Cotter,VAN,LW
Jeffrey Viel,T.B,LW
Josh Mahura,SEA,D
Conor Timmins,BUF,D
Michael McCarron,MIN,C
Tyler Myers,DAL,D
Radek Faksa,DAL,C
Ondrej Palat,NYI,LW
Sean Kuraly,BOS,"C,RW"
Zach Whitecloud,CGY,D
Timothy Liljegren,WSH,D
Brett Pesce,N.J,D
Trent Frederic,EDM,"C,LW,RW"
Brian Dumoulin,L.A,D
Erik Cernak,T.B,D
Alexei Toropchenko,STL,"LW,RW"
Jonathan Aspirot,BOS,D
Mario Ferraro,WPG,D
Colton Sissons,TOR,"C,RW"
Jayden Struble,MTL,D
Olli Maatta,MIN,D
Zemgus Girgensons,T.B,LW
Emil Andrae,TOR,D
Niko Mikkola,FLA,D
Jonas Siegenthaler,N.J,D
Jonas Rondbjerg,VGK,RW
Oskar Back,DAL,"C,LW"
Ryan Winterton,SEA,RW
Reid Schaefer,NSH,LW
Isac Lundestrom,CBJ,C
Ryan Lindgren,SEA,D
Colin Blackwell,DAL,"C,RW"
Connor Murphy,EDM,D
Jaroslav Chmelar,NYR,RW
Cody Ceci,L.A,D
Nick Bjugstad,N.J,C
Nico Sturm,MIN,C
Samuel Helenius,L.A,C
Tyler Tucker,STL,D
Brett Kulak,COL,D
Declan Chisholm,N.J,D
Jamie Oleksiak,VAN,D
Justin Barron,NSH,D
Sam Carrick,BUF,C
Elias Salomonsson,WPG,D
Joel Edmundson,L.A,D
Jesper Boqvist,N.J,"C,LW"
Chris Tanev,TOR,D
Tim Washe,ANA,C
Dmitry Kulikov,FLA,D
Casey Cizikas,NYI,"C,LW"
Radko Gudas,FLA,D
Lars Eller,FLA,C
Landon Slaggert,CHI,"LW,RW"
Uvis Balinskis,FLA,D
Adam Boqvist,NYI,D
Trevor van Riemsdyk,PIT,D
Vincent Iorio,NYR,D
Dmitri Simashev,UTA,D
Spencer Stastney,EDM,D
Brandon Duhaime,TOR,"LW,RW"
Jacob Quillan,TOR,C
Joe Veleno,NYR,C
Justin Kirkland,MIN,C
Albert Johansson,DET,D
Jeremy Lauzon,VGK,D
Nick Seeler,PHI,D
Jacob Bernard-Docker,DET,D
Ian Cole,CHI,D
Ben Chiarot,DET,D
Matt Rempe,NYR,RW
Brandon Carlo,STL,D
Zack Ostapchuk,S.J,C
Jeff Malott,ANA,LW
Nikolas Matinpalo,OTT,D
Brandon Tanev,UTA,"LW,RW"
Zach Bogosian,MIN,D
Scott Mayfield,NYI,D
Garnet Hathaway,FLA,RW
Vincent Desharnais,WSH,D
Simon Benoit,PHI,D
Ryan Graves,PIT,D
Liam O'Brien,UTA,"LW,RW"
Jake Christiansen,CBJ,D
Joel Hanley,CGY,D
Gavin McKenna,TOR,LW
Ivar Stenberg,S.J,LW
Roman Kantserov,CHI,RW
Ilya Protas,WSH,LW
James Hagens,BOS,C
Luca Cagnoni,S.J,D
Lukas Dostal,ANA,G
Ville Husso,ANA,G
Jeremy Swayman,BOS,G
Michael DiPietro,BOS,G
Ukko-Pekka Luukkonen,BUF,G
Alex Lyon,BUF,G
Pyotr Kochetkov,CAR,G
